rank,company_group,isin,name,type,source,retrieved,sri,rhp,ongoing,transaction,completeness,warnings
1,BlackRock,IE00BKBF6H24,iShares Core MSCI World UCITS ETF EUR Hedged ,etf,,0,,,,,,
2,BlackRock,IE000OHHIBC6,iShares Core MSCI World UCITS ETF USD (Dist),etf,,0,,,,,,
3,PIMCO,IE00B7KFL990,PIMCO FUNDS : GLOBAL INVESTORS SERIES PLC INC,opcvm,,0,,,,,,
4,PIMCO,IE00B84J9L26,PIMCO FUNDS : GLOBAL INVESTORS SERIES PLC INC,opcvm,,0,,,,,,
5,PIMCO,IE00BYM81J55,PIMCO GIS Income Admin H,opcvm,,0,,,,,,
6,PIMCO,IE00B80G9288,PIMCO GIS Income Fund Institutional EUR (Hedg,opcvm,,0,,,,,,
7,PIMCO,IE00B87KCF77,PIMCO GIS Income,opcvm,,0,,,,,,
8,Pictet,LU0328684104,Pictet-Japan Index IS JPY,opcvm,,0,,,,,,
9,BlackRock,IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),etf,,0,,,,,,
10,Vanguard,IE00B3XXRP09,Vanguard Funds PLC - Vanguard S&P 500 UCITS E,etf,vanguard,1,4,5.0,0.07,0.0,62.5,Scénarios non détectés
11,Vanguard,IE00BFMXXD54,Vanguard Funds PLC - Vanguard S&P 500 UCITS E,etf,vanguard,1,4,5.0,0.07,0.0,62.5,Scénarios non détectés
12,BlackRock,IE0005023803,BlackRock Institutional Cash Series Euro Liqu,opcvm,,0,,,,,,
13,Vanguard,IE00BK5BQT80,Vanguard Ftse All-World Ucits Etf A,etf,vanguard,1,4,5.0,0.19,0.03,62.5,Scénarios non détectés
14,Vanguard,IE00B3RBWM25,Vanguard Funds PLC - Vanguard FTSE All-World ,etf,vanguard,1,4,5.0,0.19,0.03,62.5,Scénarios non détectés
15,BlackRock,IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),etf,,0,,,,,,
16,Fidelity,IE00BNGFMX61,Fidelity Japan Equity Research Enhanced UCITS,etf,,0,,,,,,
17,Amundi,FR0011630557,AMUNDI EURO LIQUIDITY SELECT - P (C),opcvm,amundi,1,1,,0.38,0.03,62.5,
18,Amundi,FR0010251660,AMUNDI EURO LIQUIDITY SELECT,opcvm,amundi,1,1,,0.13,0.03,62.5,
19,Goldman Sachs AM,IE00B9297623,Goldman Sachs US Treasury Liquid Reserves Fun,opcvm,,0,,,,,,
20,JPMorgan,LU1873132366,JPMorgan Liquidity Funds - JPM USD Treasury C,opcvm,,0,,,,,,
21,Invesco,IE00B3YCGJ38,INVESCO S&P 500 UCITS ETF,etf,,0,,,,,,
22,Invesco,IE00BRKWGL70,Invesco S&P 500 UCITS ETF EUR Hdg Acc,etf,,0,,,,,,
23,State Street,US78467X1090,State Street SPDR Dow Jones Industrial Averag,etf,,0,,,,,,
24,State Street,IE00BYYW2V44,SSGA SPDR ETFs Europe I plc - State Street SP,etf,,0,,,,,,
25,Fidelity,LU1033663649,Fidelity Funds - Global Technology Fund W-Acc,opcvm,,0,,,,,,
26,Fidelity,LU0936579340,Fidelity Funds - Global Technology Fund Y-DIS,opcvm,,0,,,,,,
27,Fidelity,LU0346389348,Fidelity Global Technology Y,opcvm,,0,,,,,,
28,Fidelity,LU1841614867,FIDELITY FUNDS - GLOBAL TECHNOLOGY FUND A-ACC,opcvm,,0,,,,,,
29,Fil,LU0099574567,Fidelity Funds - Global Technology Fund A-Eur,opcvm,,0,,,,,,
30,Amundi,FR0013289386,Amundi Euro Liquidity-Rated SRI,opcvm,amundi,1,1,,0.19,0.02,62.5,
31,Amundi,FR0011408798,Amundi Euro Liquidity-Rated Responsible E,opcvm,amundi,1,1,,0.19,0.02,62.5,
32,Amundi,FR0007038138,AMUNDI EURO LIQUIDITY-RATED RESPONSIBLE,opcvm,amundi,1,1,,0.12,0.02,62.5,
33,Natixis,LU1694789378,DNCA Invest Alpha Bonds – I CAP,opcvm,,0,,,,,,
34,Natixis,LU1694789451,DNCA Invest Alpha Bonds A EUR,opcvm,predica,1,2,3.0,1.31,0.08,87.5,
35,Natixis,LU1694789709,DNCA Invest Alpha Bonds N EUR,opcvm,,0,,,,,,
36,Natixis,LU1694789535,DNCA Invest Alpha Bonds B EUR,opcvm,predica,1,2,3.0,1.49,0.09,87.5,
37,BNP Paribas AM,LU0094219127,BNP Paribas InstiCash EUR 1D LVNAV I Capitali,opcvm,,0,,,,,,
38,BNP Paribas AM,LU0167237543,BNP Paribas Insticash EUR 1D Short Term VNAV ,opcvm,,0,,,,,,
39,BNP Paribas AM,LU0167237972,BNP PARIBAS INSTICASH EUR 1D LVNAV [Privilege,opcvm,,0,,,,,,
40,Cpr,FR0012903250,BFT Aureus ISR PC,opcvm,amundi,1,1,,0.39,0.02,62.5,
41,Hsbc,IE0030819506,HSBC Global Liquidity Funds plc - HSBC Euro L,opcvm,,0,,,,,,
42,Hsbc,IE0030028546,HSBC Euro Liquidity Fund B,opcvm,,0,,,,,,
43,Cpr,FR0010599399,BFT AUREUS ISR,opcvm,amundi,1,1,,0.12,0.02,62.5,
44,BNP Paribas AM,FR0007009808,"BNP PARIBAS MOIS ISR [I, C]",opcvm,,0,,,,,,
45,DWS,DE0009848119,DWS Top Dividende LD,opcvm,,0,,,,,,
46,DWS,DE000DWS18Q3,DWS Top Dividende SC,opcvm,,0,,,,,,
47,Vanguard,IE00B18GC888,Vanguard Global Bond Index Fund EUR Hedged Ac,opcvm,vanguard,1,2,3.0,0.15,0.11,87.5,Scénarios non détectés
48,DWS,IE00BJ0KDQ92,XTRACKERS MSCI WORLD UCITS ETF,etf,,0,,,,,,
49,Deutsche,DE000A0S9GB0,Xetra-Gold ETC,etf,,0,,,,,,
50,DWS,LU0335044896,Xtrackers II EUR Overnight Rate Swap UCITS ET,etf,,0,,,,,,
51,DWS,LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ET,etf,,0,,,,,,
52,JPMorgan,LU0740858492,JPMorgan Investment Funds - Global Income Fun,opcvm,,0,,,,,,
53,JPMorgan,LU0782316961,JPMorgan Investment Funds - Global Income Fun,opcvm,,0,,,,,,
54,JPMorgan,LU0740858229,JPM Invest Fds Global Income Fnd A EUR Cap,opcvm,,0,,,,,,
55,JPMorgan,LU0404220724,JPMorgan Investment Funds - Global Income Fun,opcvm,,0,,,,,,
56,Natixis,FR0010885210,Ostrum SRI Money Plus R (C) EUR,opcvm,,0,,,,,,
57,Capital,LU1295554833,Capital Group New Perspective Fund (LUX) Z,opcvm,,0,,,,,,
58,Capital,LU1295552621,Capital Group New Perspective Fund (LUX) Bh-E,opcvm,,0,,,,,,
59,Capital,LU1295551144,CAPITAL INTERNATIONAL FUND CAPITAL GROUP NEW ,opcvm,,0,,,,,,
60,Hsbc,IE0007966447,HSBC GLOBAL LIQUIDITY FUNDS PLC - HSBC STERLI,opcvm,,0,,,,,,
61,Credit,FR0000009987,Union + IC,opcvm,,0,,,,,,
62,Credit,FR0000979825,CM-AM CASH ISR - Part IC,opcvm,,0,,,,,,
63,Schroders,LU0113258742,Schroder Intl Sel Fd Euro Corporate Bond C,opcvm,,0,,,,,,
64,Schroders,LU0428345051,SCHRODER INTERNATIONAL SELECTION FUND EURO CO,opcvm,,0,,,,,,
65,Schroders,LU0968427160,Schroder International Selection Fund - EURO ,opcvm,,0,,,,,,
66,Schroders,LU0552054859,Schroder International Selection Fund - EURO ,opcvm,,0,,,,,,
67,Schroders,LU0425487740,Schroder International Selection Fund - EURO ,opcvm,,0,,,,,,
68,Algebris,IE00B81TMV64,Algebris Financial Credit Fund I EUR,opcvm,,0,,,,,,
69,Algebris,IE00BYR8FS70,Algebris Financial Credit Fund W EUR,opcvm,,0,,,,,,
70,Algebris,IE00B8J38129,Algebris UCITS Funds plc - Algebris Financial,opcvm,predica,1,3,,1.3,0.0,75.0,
71,State Street,IE000BZ1HVL2,State Street SPDR MSCI World EUR Hdg UCITS ET,etf,,0,,,,,,
72,Societe,FR0000003964,SG MONETAIRE PLUS - I (C),opcvm,amundi,1,1,,0.13,0.01,62.5,
73,BNP Paribas AM,FR0000287716,"BNP Paribas Money 3M [I, C]",opcvm,,0,,,,,,
74,Hsbc,IE000UQND7H4,HSBC MSCI WORLD UCITS ETF USD ACC,etf,,0,,,,,,
75,Hsbc,IE000QMIHY81,HSBC MSCI WORLD UCITS ETF EUR HEDGED A,etf,,0,,,,,,
76,Invesco,IE00BYVTMS52,Invesco EQQQ NASDAQ-100 UCITS ETF EUR Hdg Acc,etf,,0,,,,,,
77,Polar,IE00BM95B514,Global Technology Fund Class I EUR Accumulati,opcvm,,0,,,,,,
78,Cadelux,LU0524314175,Universal Invest Dynamic BC,opcvm,,0,,,,,,
79,Cadelux,LU0524313441,Universal Invest Dynamic Flexible A Acc,opcvm,,0,,,,,,
80,Pictet,LU0128495834,Pictet-STMM EUR R CAP,opcvm,,0,,,,,,
81,Pictet,LU0128494944,Pictet - Short-Term Money Market EUR - I,opcvm,,0,,,,,,
82,Pictet,LU0128494191,Pictet-Short-Term Money Market EUR P,opcvm,,0,,,,,,
83,Pictet,LU0128497707,Pictet – Short-Term Money Mark,opcvm,,0,,,,,,
84,Credit,FR0010389254,CM-AM MONEPLUS - Part IC,opcvm,,0,,,,,,
85,Flossbach,LU1748854947,Flossbach von Storch – Multiple Opportunities,opcvm,,0,,,,,,
86,UBS,IE00B7KQ7B66,UBS (IRL) ETF PLC - MSCI WORLD UCITS ETF (USD,etf,,0,,,,,,
87,UBS,IE00BD4TXV59,UBS Core MSCI World UCITS ETF USD acc,etf,,0,,,,,,
88,Franklin Templeton,LU0109392836,Franklin Technology A US DOLLAR,opcvm,,0,,,,,,
89,Franklin Templeton,LU0976566736,Franklin Technology W Acc USD,opcvm,,0,,,,,,
90,Franklin Templeton,LU0923958473,Franklin Technology W Acc EUR,opcvm,,0,,,,,,
91,Franklin Templeton,LU0122613655,Franklin Technology Fund N (Acc) USD,opcvm,,0,,,,,,
92,Franklin Templeton,LU1704830576,Franklin Technology Fund A (Acc) EUR-H1,opcvm,,0,,,,,,
93,State Street,IE00BF1B7389,State Street SPDR MSCI All Country World EUR ,etf,,0,,,,,,
94,State Street,IE00B44Z5B48,SSGA SPDR ETFs Europe I plc - State Street SP,etf,,0,,,,,,
95,Invesco,IE0032077012,Invesco EQQQ NASDAQ-100 UCITS ETF Dist,etf,,0,,,,,,
96,Morgan Stanley,LU0552385295,Morgan Stanley Investment Funds – Global Oppo,opcvm,,0,,,,,,
97,AllianceBernstein,LU0232560531,AB FCP I - Global High Yield Portfolio A2,opcvm,,0,,,,,,
98,AllianceBernstein,LU0448068782,AB FCP I - Global High Yield Portfolio A2 EUR,opcvm,,0,,,,,,
99,AllianceBernstein,LU0249551689,AB FCP I - GLOBAL HIGH YIELD PORTFOLIO,opcvm,,0,,,,,,
100,Morgan Stanley,LU0671505468,Morgan Stanley Investment Funds - Global Bran,opcvm,,0,,,,,,
